FILE: evap-pan.xls Updated: 7/24/2012 by John P. Anderson
File header updated by Ken Ramsey on 02/11/2013.

Data entered & verified in KeyesPunch dataentry software beginning with date 5/8/12. 
Data appended to this file from KeyesPunch data output file

Variable description:
interval_days = number of days between readings (date_read minus begin_period)
date_start = beginning date on which evaporation calculation is based
date_read = date of measurement
time = military time of measurement
curT = current water temperature (F)
minT = minimum water temperature since last reading (F)
maxT = maximum water temperature since last reading (F)
i_water = initial water level (inches)
f_water = final water level after evaporation (inches)
rain = rainfall since last measurement (inches)
init = initials of field reader
evap = evaporation since last good measurement (begin_period to date_read) (inches)
qflag = quality flag (C=good data. Comment present; G=good data; E=esimated water level; H=water level too high to measure; I=ice in pan; L=water level too low to measure; Q=questionable water level; R=missing rain data; T=missing min or max temperature; W=missing water level
comment = comment

interval_days,date_start,date_read,time,curT,minT,maxT,i_water,f_water,rain,init,evap,qflag,comment
7,02/06/1987,02/13/1987,.,65,34,69,3.751,2.874,0.00,.,0.877,G,
8,02/13/1987,02/21/1987,.,35,33,68,4.694,4.025,0.28,.,0.949,G,
6,02/21/1987,02/27/1987,.,54,31,62,4.025,3.554,0.12,.,0.591,G,
7,02/27/1987,03/06/1987,.,68,32,72,4.082,3.057,0.00,.,1.025,G,
7,03/06/1987,03/13/1987,.,72,37,76,3.909,2.695,0.03,.,1.244,G,
8,03/13/1987,03/21/1987,.,46,34,74,3.673,1.955,0.00,.,1.718,G,
6,03/21/1987,03/27/1987,.,67,33,72,3.698,2.544,0.17,.,1.324,G,
7,03/27/1987,04/03/1987,.,70,29,77,3.576,2.553,0.09,.,1.113,G,
7,04/03/1987,04/10/1987,.,77,47,78,4.447,3.026,0.04,.,1.461,G,
6,04/10/1987,04/16/1987,.,84,37,87,4.472,2.431,0.00,.,2.041,G,
8,04/16/1987,04/24/1987,.,78,39,86,4.304,2.285,0.07,.,2.089,G,
7,04/24/1987,05/01/1987,.,85,47,86,4.332,2.508,0.06,.,1.884,G,
7,05/01/1987,05/08/1987,.,84,45,88,4.312,2.405,0.04,.,1.947,G,
7,05/08/1987,05/15/1987,.,71,48,89,4.471,2.347,0.19,.,2.314,G,
7,05/15/1987,05/22/1987,.,54,48,88,4.357,2.377,0.00,.,1.980,G,
7,05/22/1987,05/29/1987,.,87,43,88,4.478,1.673,0.00,.,2.805,G,
7,05/29/1987,06/05/1987,.,56,50,93,4.471,1.908,0.00,.,2.563,G,
7,06/05/1987,06/12/1987,.,62,54,93,4.518,4.397,2.30,.,2.421,G,
7,06/12/1987,06/19/1987,.,53,48,99,4.397,  .,0.00,.,.,L,water too low to read
7,06/19/1987,06/26/1987,.,60,51,101,4.445,  .,0.64,.,.,L,water too low to read
7,06/26/1987,07/03/1987,.,61,57,94,4.875,2.293,0.00,.,2.582,G,
7,07/03/1987,07/10/1987,.,91,53,91,4.751,1.727,0.00,.,3.024,G,
7,07/10/1987,07/17/1987,.,60,58,97,4.829,1.757,0.11,.,3.182,G,
7,07/17/1987,07/24/1987,.,65,55,97,4.759,2.027,0.03,.,2.762,G,
7,07/24/1987,07/31/1987,.,68,59,92,4.687,3.951,2.04,.,2.776,G,
7,07/31/1987,08/07/1987,.,96,62,99,3.951,1.835,0.13,.,2.246,G,
7,08/07/1987,08/14/1987,.,63,60,98,4.582,3.411,0.70,.,1.871,G,
6,08/14/1987,08/20/1987,.,93,54,94,4.621,2.399,0.00,.,2.222,G,
7,08/20/1987,08/27/1987,.,86,58,93,4.853,4.751,2.57,.,2.672,G,
8,08/27/1987,09/04/1987,.,78,55,90,4.751,3.274,0.30,.,1.777,G,
7,09/04/1987,09/11/1987,.,86,53,93,3.274,1.961,0.03,.,1.343,G,
7,09/11/1987,09/18/1987,.,73,47,88,4.268,2.685,0.13,.,1.713,G,
7,09/18/1987,09/25/1987,.,83,51,86,4.059,3.025,0.30,.,1.334,G,
5,09/25/1987,09/30/1987,.,79,51,87,3.025,2.167,0.00,.,0.858,G,
7,09/30/1987,10/07/1987,.,82,48,84,4.501,2.895,0.00,.,1.606,G,
7,10/07/1987,10/14/1987,.,73,49,82,4.287,2.441,0.00,.,1.846,G,
7,10/14/1987,10/21/1987,.,72,44,78,4.326,3.173,0.04,.,1.193,G,
7,10/21/1987,10/28/1987,.,77,47,78,4.951,3.847,0.06,.,1.164,C,"0.06"" rain collected 10/23/87"
7,10/28/1987,11/04/1987,.,68,47,77,5.061,4.301,0.21,.,0.970,G,
7,11/04/1987,11/11/1987,.,61,45,72,4.301,3.329,0.01,.,0.982,G,
6,11/11/1987,11/17/1987,.,54,32,63,4.647,3.703,0.00,.,0.944,G,
7,11/17/1987,11/24/1987,.,61,32,62,4.373,3.053,0.00,.,1.320,G,
8,11/24/1987,12/02/1987,.,50,29,61,3.053,2.293,0.00,.,0.760,G,
7,12/02/1987,12/09/1987,.,53,32,61,4.641,3.123,0.00,.,1.518,G,
7,12/09/1987,12/16/1987,.,.,., .,3.123,  .,0.85,.,.,M,ice in pan.Hook gage missing.
